Mandante;N° ID;Item number;Description in operating language;Responsible operator;Product;Commentaires CODIF;Infos nécessaires;Dent client;Review date/Payment due date;Bon pour codif;Temps d'étude (nb jour);Inhouse contact
AE;2102716;60;PAYEN & CIE;;CODIF;PLATINE FURUKAWA FXJ375 - AXS POUR REPRISE PAR UA62CH001 GODET D ORIGINE;Oui;Non;04/10/2017;;10;PFR
AE;2102721;60;ANGELO MECCOLI SAS;;CODIF;C41I35 - 2000mm X 1055LT AVEC CLAPET DE LISSAGE KIT OREILLE ATLAS FOURNITURE CLIENT ATLAS T 630;Oui;Non;13/10/2017;;10;PFR
AE;2102723;60;ANGELO MECCOLI SAS;;CODIF;C41I35 - 2000mm X 1055LT AVEC CLAPET DE LISSAGE KIT OREILLE ATLAS FOURNITURE CLIENT ATLAS T 630;Oui;Non;29/09/2017;;10;PFR
AE;2102818;10;BERGERAT MONNOYEUR SAS;;CODIF;UA32H POUR CAT 315F REPRISE GODETS CASE 588 - ELARGISSEURS;Non;Non;02/11/2017;24/07/2017;10;PFR
AE;2102928;30;VOLVO;;CODIF;;Oui;Non;05/10/2017;;10;VBE
AE;2102951;10;EIFFAGE TP MEDITERRANEE;;CODIF;PLATINE POUR GODET CRIBLEUR EN ATTENTE INFO GD;Oui;Non;29/09/2017;;10;PFR
AE;2103075;10;BACQUE BTP SERVICE;;CODIF;GODET R20V21 1000 mm - 5 dents - repris par QA 21 VOIR PLAN JOINT;Oui;Non;13/11/2017;;10;VBE
AE;2103092;30;SOREQUIP SAS;;CODIF;JEU D AXE POUR SANS TRAITEMENT POUR PELLE LIUGNONG 925 E -IV;Oui;Non;18/10/2017;;10;VBE
AE;2103092;20;SOREQUIP SAS;;CODIF;R50C41-130 ATTAHCE LIUGNONG 925 E - IV VERSION AXES LIBRES;Oui;Non;18/10/2017;;10;VBE
AE;2103092;10;SOREQUIP SAS;;CODIF;UA52 H POUR PELLE LIUGONG 925 E -iv INFOS A SUIVRE PAR jt EMBASE AUX COTES D ORIGINE METTRE CROCHET CENTRAL;Oui;Non;18/10/2017;;10;VBE
AE;2103094;30;SOREQUIP SAS;;CODIF;JEU D AXE POUR SANS TRAITEMENT POUR PELLE LIUGNONG 936 E -IV;Oui;Non;18/10/2017;;10;VBE
AE;2103094;20;SOREQUIP SAS;;CODIF;R60C41-150 ATTACHE LIUGNONG 936 E - IV VERSION AXES LIBRES;Oui;Non;18/10/2017;;10;VBE
AE;2103094;10;SOREQUIP SAS;;CODIF;UA62 H POUR PELLE LIUGONG 936 E -iv INFOS A SUIVRE PAR jt EMBASE AUX COTES D ORIGINE METTRE CROCHET CENTRAL;Oui;Non;18/10/2017;;10;VBE
AE;2103173;10;POLE MAT;;CODIF;QA05 POUR TEREX TC08 - TC10;Oui;Non;05/10/2017;;10;PFR
AE;2103240;10;HANSA MACHINES;;CODIF;S1102 sans rotation;Non;Non;17/10/2017;08/08/2017;10;ARI
AE;2103613;10;ARDEN EQUIPMENT FOIRE/PRET;;CODIF;PLATINE (en attente infos DD / JT);Non;Non;13/10/2017;29/08/2017;10;VBE
AE;2103843;10;PAYANT MTP;;CODIF;UA42H - POUR VOLVO EC160ENL REPRISE & CALAGE POUR GODET JCB 160 PAS DE CROCHET CENTRAL CAR CROCHET SUR BIELLETTE;Non;Non;10/10/2017;05/09/2017;10;VBE
